S1_control	S2_control	S3_control	S4_treated	S5_treated	S6_treated
Gene_1	221.290563304338	209.63359668603	274.595595071054	241.042240429539	249.536426260742	237.425530551291
Gene_2	203.428544741656	201.452773400721	122.154658101461	521.438316031247	188.580963357355	212.929245653142
Gene_3	105.187442646905	95.1020706917111	59.5630151073242	101.336125568337	142.864366179814	138.49822615492
Gene_4	118.08778938662	204.520582132712	129.221456504025	211.526864050412	145.72165350341	187.490795951218
Gene_5	366.171380534981	441.764457406658	353.339920128194	363.039129463265	699.082965173224	313.740879657063
Gene_6	249.075925512955	284.28360916447	262.481083523802	247.929161584669	182.866388710162	189.375125558768
Gene_7	144.880817230643	97.1472765130382	108.021061296334	141.673806619811	149.531369934872	111.175446845446
Gene_8	310.600656117748	274.057580057834	303.872331310247	203.656097015978	160.960519229257	245.905013785265
Gene_9	110.149114469872	275.080182968498	201.90852578754	236.123011033018	169.532381200046	157.341522230419
Gene_10	23.8160247502427	21.4746611239348	25.2385657234425	12.7899964309551	20.9534403730394	22.6119552905991
Gene_11	86.3330897196297	93.056864870384	97.9256350069567	46.2407563272993	45.7165971775405	93.2743155737213
Gene_12	285.792297002912	167.706877348824	101.963805522708	232.187627515801	272.394724849512	130.018742920945
Gene_13	400.903083295752	494.939808761163	370.502144820135	424.037573980128	191.438250680951	240.252024962616
Gene_14	109.156780105279	212.70140541802	117.106944956773	163.318415964504	150.483799042738	69.7201954793473
Gene_15	143.88848286605	197.362361758067	65.6202708809504	109.206892602771	64.7651793348491	117.77060047187
Gene_16	77.4020804382887	312.916490663049	103.982890780583	191.849946464327	140.007078856218	191.259455166317
Gene_17	206.405547835436	113.508923083655	54.5153019626357	125.932272550943	106.672060080928	82.9105027321967
Gene_18	94.2717646363773	102.260291066356	216.042122592667	127.899964309551	129.530358669698	204.449762419167
Gene_19	190.528198001941	197.362361758067	142.345510680215	221.365322843454	135.244933316891	188.432960754993
Gene_20	45.6473807712985	52.1527484438416	56.5343872205111	84.6107456201647	54.2884591483294	66.8937010680224
Gene_21	446.55046406705	296.554844092432	298.824618165559	439.779108048996	209.534403730394	298.666242796663
Gene_22	59.5400618756067	64.4239833718043	42.4007904153833	44.2730645686908	15.2388657258468	40.5130865623234
Gene_23	43.6627120421116	28.6328814985797	30.286278868131	41.3215269307781	39.0495934224826	34.8600977396736
Gene_24	212.359554022997	237.243875273946	79.7538676860782	111.174584361379	201.914970867471	318.451703675937
Gene_25	403.880086389532	305.758270288404	310.939129712811	123.964580792334	259.060717339396	308.087890834413
Gene_26	237.167913137833	199.407567579394	159.507735372156	166.269953602417	164.770235660719	135.671731743595
Gene_27	92.2870959071904	182.023318098114	91.8683792333305	172.173028878242	62.8603211191183	162.052346249294
Gene_28	126.026464303367	146.232216224889	96.916092378019	99.3684338097283	149.531369934872	55.5877234227228
Gene_29	54.5783900526395	69.5369979251221	34.3244493838817	93.4653585339028	170.484810307912	91.3899859661714
Gene_30	339.378352690958	734.228889856436	453.284640393027	461.423717393689	296.205452546148	257.210991430565
Gene_31	263.960940981856	273.03497714717	207.965781561166	211.526864050412	274.299583065243	198.796773596517
Gene_32	93.2794302717838	192.249347204749	109.030603925271	253.832236860494	173.342097631508	292.071089170239
Gene_33	125.034129938774	109.418511441001	164.555448516845	63.9499821547756	100.957485433735	66.8937010680224
Gene_34	280.830625179945	314.961696484376	271.566967184241	178.076104154068	249.536426260742	214.813575260692
Gene_35	381.056396003883	486.758985475855	549.191190142108	272.525308567275	560.028315424872	353.311801415611
